#,증빙서류이름,해당 비목,패키지,세부 정보,관련 서식·시스템
12,프리랜서마켓 플랫폼 거래확인서,외주용역비,7개 패키지 공통,"크몽·숨고 등 프리랜서 중개 플랫폼을 통해 개인과 거래할 때, 플랫폼이 발급하는 거래 성사·대금결제 확인서로 사업자등록 없는 개인과의 정상 거래를 입증한다.",각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
13,전자주문서,외주용역비,7개 패키지 공통,"프리랜서마켓 등 온라인 플랫폼에서 발주 시 자동 생성되는 주문 내역서로, 주문 품목·금액·거래 당사자를 확인할 수 있다.",창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
14,기계장치활용계획서,기계장치,7개 패키지 공통,구매하려는 기계장치(설비·비품·SW)를 사업화(시제품 제작 등)에 어떻게 활용할지 사전에 작성하는 계획서다.,각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
15,출원(등록)청구서 및 등록증,특허권 등 무형자산 취득비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업","특허청 등에 지식재산권 출원 시 제출하는 청구서와, 등록 완료 시 발급되는 등록증(특허증·상표등록증 등)이다.",특허청 특허로(patent.go.kr)
16,관납료 영수증,특허권 등 무형자산 취득비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업",특허청에 납부하는 출원료·등록료·심사청구료 등 관납료의 납부 사실을 증명하는 영수증이다.,특허청 특허로(patent.go.kr)
17,출원(등록)통지서,특허권 등 무형자산 취득비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업",특허청(또는 대리인인 변리사)이 출원·등록 절차 진행 상황을 신청인에게 통지하는 문서다.,특허청 특허로(patent.go.kr)
18,우선심사청구서 및 접수증,특허권 등 무형자산 취득비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업","일반 심사보다 빠른 심사를 신청할 때 제출하는 우선심사청구서와, 특허청 접수 사실을 확인해 주는 접수증이다.",특허청 특허로(patent.go.kr)
19,선행기술조사보고서,특허권 등 무형자산 취득비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업","출원 전(또는 우선심사 신청 시) 유사 선행기술·특허 존재 여부를 조사한 보고서로, 조사전문기관이나 변리사가 작성한다.",특허청 특허로(patent.go.kr)
20,4대보험가입확인서,인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업",국민연금·건강보험·고용보험·산재보험 가입 여부를 4대사회보험 정보연계센터 등에서 발급받는 확인서. 신규채용 인력의 인건비 집행 요건(가입 완료일 기준 일할 계산) 확인에 쓰인다.,4대사회보험 정보연계센터(4insure.or.kr)
21,근로계약서,"인건비, TIPS-외부인건비, TIPS-학생인건비(휴학생)","예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업 + TIPS","근로기준법에 따라 임금·근로시간·업무내용 등을 명시해 사용자와 근로자가 체결하는 문서로, 인건비 집행의 기초 증빙이다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
22,이력서,인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업",신규채용 인력의 경력·자격을 확인하기 위해 최초 1회 제출받는 서류다.,정해진 표준서식 없음 — 자유양식으로 작성(사업 공고문에 별도 서식이 첨부된 경우 그것을 우선 사용)
23,근로자 신분증,인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업","근로자 본인 확인을 위한 신분증(주민등록증 등) 사본으로, 근로계약 체결 시 함께 확보한다.",별도 서식 없음 — 신분증·통장 등 기존 증빙의 사본을 제출
24,근로자 통장사본,인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업",급여가 근로자 본인 명의 계좌로 입금되는지 확인하기 위한 통장사본이다.,별도 서식 없음 — 신분증·통장 등 기존 증빙의 사본을 제출
25,근로자 청렴서약서,인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업","채용 근로자가 사업비를 부정하게 수령하거나 담합하지 않겠다고 서약하는 문서로, 다수 창업지원사업에서 채용 시 제출을 요구한다.",각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
26,급여대장,인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업","매월 지급한 근로자별 급여 내역(기본급·수당·공제액 등)을 정리한 대장으로, 매달 인건비 집행의 핵심 증빙이다.",각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
27,입금확인증(송금증),"인건비, 멘토링비, 사무실임차료, 보관료",7개 패키지 공통,은행 계좌에서 실제로 대금이 이체되었음을 증명하는 이체확인증(송금증). 세금계산서 발급이 곤란한 개인 대상 지급(멘토료 등)에 특히 많이 쓰인다.,창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
28,원천징수이행상황신고서,인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업","사업자가 매월 원천징수한 근로소득세 등을 국세청에 신고하는 서식으로, 협약종료 시 인건비 실제 지급·신고 사실을 확인하는 데 쓰인다.",국세청 홈택스(hometax.go.kr)
29,근로소득원천징수영수증(또는 근로소득원천징수부),인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업","근로자별 연간(또는 기간) 지급 급여와 원천징수 세액을 정리한 증빙으로, 정산보고 시 인건비 지급총액 확인 자료로 활용된다.",국세청 홈택스(hometax.go.kr)
30,4대보험료 월별납부확인서,인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업","건강보험공단·근로복지공단 등에서 발급하는, 사업장이 매월 4대보험료를 실제 납부했는지 보여주는 확인서다.",4대사회보험 정보연계센터(4insure.or.kr)
31,퇴직연금납입내역서,인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업","1년 이상 재직한 근로자에 대해 사업자가 퇴직연금(DC/DB형)에 납입한 내역을 증명하는 서류로, 퇴직급여충당금 집행 시 요구된다.",창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
32,건강검진 실시확인서,인건비,"예비창업패키지, 초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업","산업안전보건법상 의무 건강검진을 근로자가 실제로 받았는지 확인하는 서류로, 건강검진비를 인건비 관련 비용으로 집행할 때 필요하다.",창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
33,활용계획서(기술요약 포함),지급수수료-기술이전비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업","도입하려는 특허 등 기술의 요약 정보와, 이를 사업화에 어떻게 활용할지 기술한 계획서다.",각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
34,기술이전계약서,지급수수료-기술이전비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업","기술 보유자(이전기업)와 창업기업 간 기술의 실시권·소유권 이전 조건, 대가를 정한 계약서다.",국가지식재산거래플랫폼 IP-Market(ipmarket.or.kr)
35,기술이전 완료보고서(또는 이전기업 승인 공문),지급수수료-기술이전비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업","기술이전 절차가 실제로 완료되었음을 보고하거나, 이전기업이 이전 사실을 승인한 공문이다.",국가지식재산거래플랫폼 IP-Market(ipmarket.or.kr)
36,평가 증빙서류,지급수수료-기술이전비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업",이전 대상 기술의 가치(가격)를 산정한 기술가치평가 관련 자료다.,창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
37,재산거래 플랫폼 이용 확인서류,지급수수료-기술이전비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업",국가지식재산거래플랫폼(ipmarket.or.kr)의 특허거래전문관을 통해 가격산정·거래협상이 이루어졌음을 확인하는 서류. 이 절차를 거친 기술이전만 정부지원사업비로 인정하는 사업이 많다.,국가지식재산거래플랫폼 IP-Market(ipmarket.or.kr)
38,카탈로그,"지급수수료-학회·세미나 참가비, 전시회·박람회 참가비","예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업","학회·세미나 또는 전시회·박람회의 프로그램북·안내 카탈로그로, 행사 개최 사실과 내용을 증명한다.",창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
39,참가비 영수증,"지급수수료-학회·세미나 참가비, 전시회·박람회 참가비, TIPS-연구인력 지원비","예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업 + TIPS",등록비(참가비)를 실제로 납부했음을 증명하는 영수증이다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
40,참가 결과보고(증빙사진·참가확인서 포함),"지급수수료-학회·세미나 참가비, 전시회·박람회 참가비","예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업",행사 참가 후 현장 사진과 주최측 발급 참가확인서를 첨부해 실제 참가 사실을 보고하는 문서다.,각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
41,시험·인증서(또는 시험인증신청서 및 접수증),지급수수료-시험·인증비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업","공인 시험·인증기관이 발급하는 시험성적서·인증서, 또는 신청 단계라면 신청서와 접수증으로 갈음한다.",창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
42,컨설팅일지,지급수수료-시험·인증비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업",인증 취득 과정에서 컨설팅을 받은 경우 회차별 컨설팅 일시·내용을 기록한 일지다.,정해진 표준서식 없음 — 자유양식으로 작성(사업 공고문에 별도 서식이 첨부된 경우 그것을 우선 사용)
43,멘토 이력서,지급수수료-멘토링비,7개 패키지 공통,멘토링을 제공하는 외부·내부 전문가의 경력을 확인하기 위해 최초 1회 제출받는 이력서다.,정해진 표준서식 없음 — 자유양식으로 작성(사업 공고문에 별도 서식이 첨부된 경우 그것을 우선 사용)
44,회차별 멘토링 보고서(증빙사진 포함),지급수수료-멘토링비,7개 패키지 공통,"매 멘토링 회차마다 일시·내용·현장 사진을 기록해 제출하는 보고서로, 1인 1일 최대 30만원 한도 준수 여부 확인 근거가 된다.",각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
45,멘토 주민등록증 사본,지급수수료-멘토링비,7개 패키지 공통,멘토 본인 확인 및 원천징수(소득세 공제) 처리를 위한 신분증 사본이다.,별도 서식 없음 — 신분증·통장 등 기존 증빙의 사본을 제출
46,임차 계약서,지급수수료-기자재임차비,7개 패키지 공통,기기·장비·서버 등을 일정 기간 빌려 쓰는 조건(임차료·기간)을 정한 계약서다.,정부 지정 표준서식 없음 — 임차인(창업기업)과 임차업체 간 자유계약
47,거래명세서,"재료비, 기계장치, 장비 수리비, TIPS-연구시설·장비비, TIPS-연구재료비(시약·재료 등 구입비), TIPS-연구실 운영비, TIPS-소프트웨어 활용비, TIPS-종합사업관리비, TIPS-그 밖의 비용",7개 패키지 공통 + TIPS,"공급자가 거래 품목·수량·단가·공급가액을 정리해 발급하는 서류로, 세금계산서와 함께 실제 물품·용역 인도 내역을 뒷받침한다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
48,임차공간 증빙사진,지급수수료-사무실임차료,7개 패키지 공통,실제로 임차한 사무공간의 출입구(상호·호실 표기)와 내부 모습을 촬영한 사진이다.,서식이 아닌 사진 증빙 — 상호·호실이 보이는 출입구·내부 실제 촬영 사진 제출
49,임대차계약서,지급수수료-사무실임차료,7개 패키지 공통,임대인·임차인 간 임차 목적물·기간·임차료를 정한 계약서. 임대인 사업자등록증상 업종이 부동산임대업인지가 집행 가능 여부의 핵심 확인 요소다.,정부 지정 표준서식 없음 — 당사자 간 자유계약. 참고용으로 국토교통부·법무부가 배포하는 상가건물임대차표준계약서(molit.go.kr에서 '상가건물임대차표준계약서' 검색) 등을 활용 가능
50,인수증,지급수수료-운반비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업",운송된 물품(창업아이템)을 수하인이 실제로 인수했음을 확인하는 서류다.,창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
51,운송확인증,지급수수료-운반비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업","운송업체가 발급하는, 물품이 실제로 운송(발송·도착)되었음을 증명하는 서류다.",창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
52,보험증권,지급수수료-보험료,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업",수출 물품에 대해 가입한 적하보험 등의 보장 내용·보험료가 기재된 증권이다.,이용 보험사 발급 서류(해당 사항 없음)
53,보험가입서(계약서),지급수수료-보험료,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업",보험 가입 신청·체결 시 작성하는 계약서류로 보험증권의 근거 자료다.,이용 보험사 발급 서류(해당 사항 없음)
54,창고 임차 계약서(또는 보관물건 확인증),지급수수료-보관료,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업, 창업도약패키지","수출·운반 과정에서 물품을 보관하기 위한 창고 임차 계약서, 또는 보관 중인 물건을 확인해 주는 서류다.",정부 지정 표준서식 없음 — 당사자 간 자유계약. 참고용으로 국토교통부·법무부가 배포하는 상가건물임대차표준계약서(molit.go.kr에서 '상가건물임대차표준계약서' 검색) 등을 활용 가능
55,회계감사보고서,지급수수료-회계감사비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업",전문(전담)기관이 지정한 회계법인이 창업기업의 사업비 집행 내역을 감사한 뒤 발급하는 보고서다.,지정 회계법인 발급(해당 사항 없음)
56,법인등기부등본,지급수수료-법인설립비,7개 패키지 공통,"법인의 설립 사실·대표자·자본금 등을 증명하는 등기사항증명서로, 대법원 인터넷등기소에서 발급받는다.",대법원 인터넷등기소(iros.go.kr)
57,잔액고 증명 수수료·법인등록면허세·법인등기수수료 납부 확인서류,지급수수료-법인설립비,7개 패키지 공통,"법인 설립 과정에서 은행이 발급하는 잔고증명 수수료, 지자체에 납부하는 법인등록면허세, 등기소에 납부하는 등기수수료의 납부 사실을 각각 증명하는 서류다.",온라인법인설립시스템(startbiz.go.kr)
58,기술임치증(또는 최신본임치증),지급수수료-기술보호비,"모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업","대·중소기업·농어업협력재단이 운영하는 기술자료 임치제도를 통해 기술자료를 맡기고 발급받는 증서로, 기술 개발·완성 시점을 제3자(임치기관)를 통해 입증하는 근거가 된다. 분쟁 발생 시 기술 보유·개발 시점을 입증하는 용도로 쓰인다.",대·중소기업·농어업협력재단 기술임치센터(kescrow.or.kr)
59,컨설팅 결과보고서,지급수수료-법률컨설팅비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업",규제 관련 법률 검토 및 개선방안 컨설팅을 수행한 후 그 결과를 정리해 제출하는 보고서다.,각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
60,실집행 영수증(교통비 등) [국내여비용],여비,7개 패키지 공통,"국내 출장 시 실제 지출한 대중교통비·주차비 등 교통비 영수증으로, 실비 정산의 근거가 된다. 국외여비는 이 서류 대신 61·62번(출장계획서·교통비 증빙서류)으로 증빙하며, 원문에서도 '국내여비: 실집행 영수증' / '국외여비: 출장계획서, 교통비 증빙서류, 출장 결과보고서'로 국내·국외 증빙서류를 처음부터 다르게 규정하고 있다.",창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
61,출장계획서 [국외여비용],여비,7개 패키지 공통,"국외 출장의 목적·일정·예상 경비 산출근거를 담아 출국 전 사전 보고하는 문서로, 국내여비에는 요구되지 않고 국외여비에만 요구된다. TIPS는 같은 역할을 하는 서류를 '출장신청서'(#95, 국내·국외 공통)로 별도 규정하며, TIPS-연구활동비(출장비)의 실제 원문 증빙서류는 '출장계획서'가 아니라 '출장신청서'다.",각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
62,교통비 증빙서류 [국외여비용],여비,7개 패키지 공통,항공권·철도승차권 등 국외(원거리) 출장 시 발생한 교통비 지출을 증명하는 서류다. 국내 출장의 교통비는 60번(실집행 영수증)으로 증빙하므로 이 항목과는 별개다.,창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
63,출장 결과보고서 [국내·국외 공통],"여비, TIPS-연구활동비(출장비)",7개 패키지 공통 + TIPS,"출장 후 목적 달성 여부와 주요 활동 내용을 정리해 제출하는 보고서다. 표A 7개 패키지 원문에서는 국외여비 증빙서류로만 명시되어 있으나, TIPS-연구활동비(출장비)에서는 국내·국외 구분 없이 공통 증빙서류로 요구된다는 점에서 차이가 있다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
64,교육참가 신청서,교육훈련비,"예비창업패키지, 초기창업패키지, 창업중심대학, 초격차 스타트업",임직원이 기술·경영 교육과정에 참가하기 전 제출하는 사전 신청서다.,각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
65,교육자료,교육훈련비,"예비창업패키지, 초기창업패키지, 창업중심대학, 초격차 스타트업","교육기관이 제공하는 커리큘럼·강의자료 등으로, 교육 내용의 사업 연관성을 확인하는 데 쓰인다.",창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
66,신용카드 영수증(입금증),교육훈련비,"예비창업패키지, 초기창업패키지, 창업중심대학, 초격차 스타트업",교육비를 사업비카드로 결제했거나 계좌이체했음을 증명하는 영수증·입금증이다.,국세청 홈택스(hometax.go.kr) — 전자세금계산서 조회·매입매출 확인
67,교육 이수증(참가 확인서),교육훈련비,"예비창업패키지, 초기창업패키지, 창업중심대학, 초격차 스타트업",교육과정을 실제로 이수(참가완료)했음을 교육기관이 발급하는 확인서다.,창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
68,4대보험가입증명원,교육훈련비,"예비창업패키지, 초기창업패키지, 창업중심대학, 초격차 스타트업","대표자 외 인력의 교육훈련비를 집행할 때, 해당 인력이 그 기업 소속 재직자임을 4대보험 가입 여부로 확인하는 서류다.",4대사회보험 정보연계센터(4insure.or.kr)
69,검수확인서(증빙사진 포함),"광고선전비, TIPS-그 밖의 비용",7개 패키지 공통 + TIPS,홍보물·홈페이지 등 결과물의 완성 상태를 사진과 함께 확인하는 검수 서류다.,IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
70,홍보제작물,광고선전비,7개 패키지 공통,실제로 제작된 홍보영상·브로슈어·패키지 디자인 등 산출물 자체(또는 그 실물·파일)를 증빙으로 제출한다.,창업기업이 작성하는 서식이 아님 — 발급 주체(금융기관·의료기관·행사 주최측·거래처 등)가 정한 자체 양식으로 발급
71,개인 또는 법인사업자 통장사본,창업활동비,예비창업패키지,창업활동비(월 50만원 한도) 지급 계좌가 대표자 개인 또는 법인 명의임을 확인하는 통장사본이다.,별도 서식 없음 — 신분증·통장 등 기존 증빙의 사본을 제출
72,수정사업계획서,사업비 구성,"재도전성공패키지, 창업도약패키지, 초격차 스타트업","최종 확정된 지원금 규모를 반영해 사업비 구성(정부지원금·자기부담금 비율 등)을 수정한 사업계획서로, 온라인관리시스템에 제출한다.",각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
73,단가 산출 증빙자료,자기부담 현물,"초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업","자기부담 현물(재료·기자재 사용료·임차료·인건비 등)의 금액을 어떻게 산출했는지 보여주는 근거자료로, 협약체결 전 제출한다.",각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
74,현물납부확인서,자기부담 현물,"초기창업패키지, 재도전성공패키지, 창업도약패키지, 창업중심대학, 초격차 스타트업",자기부담분으로 신고한 현물이 실제로 사업에 투입·사용되었음을 확인하는 서류다.,각 사업 공고문 첨부서식 — K-스타트업(k-startup.go.kr) 공고문 첨부파일 참고
75,참여연구자 현황표,"TIPS-인건비(내부인건비), TIPS-학생인건비",TIPS,"과제에 참여하는 연구자별 참여율·소속·역할을 정리한 표로, TIPS 등 국가연구개발사업의 인건비 계상 근거가 된다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
76,급여명세서(월별),"TIPS-내부인건비, TIPS-외부인건비, TIPS-연구근접지원인력 인건비",TIPS,"매월 지급된 급여의 항목별(기본급·수당·공제액) 명세로, 실제 지급액과 계상액의 일치 여부를 확인한다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
77,계좌이체증명,"TIPS 인건비(내부·외부·연구근접지원인력·학생), 연구시설·장비비, 연구재료비, 출장비, 외부전문기술활용비, 지식재산창출활동비, 연구실운영비, 회의비, 소프트웨어활용비, 해외연구자유치지원비, 종합사업관리비, 연구수당, 국제공동연구개발비, 간접비(총괄) 등 TIPS 전 비목 공통",TIPS,"연구개발비 지출이 연구개발기관 계좌에서 상대방 계좌로 실제 이체되었음을 보여주는 통장·인터넷뱅킹 이체내역으로, 국가연구개발사업의 가장 기본적인 정산 증빙이다.",IRIS 연구개발정보포털(iris.go.kr) — 과제별 표준 서식
78,건강보험자격득실확인서,"TIPS-내부인건비, TIPS-외부인건비",TIPS,영리기관이 신규 채용한 참여연구자의 건강보험 취득일을 확인해 인건비 계상 개시 시점을 확정하는 서류다.,4대사회보험 정보연계센터(4insure.or.kr)
