구분,#,비목 이름,패키지명,정의,증빙서류,집행기준
표A,12,지급수수료 - 장비 수리비,7개 패키지 전체 공통,보유 기자재(중고 포함)의 고장·파손 수리에 소요되는 경비 — 실질 동일,"거래명세서, 견적서(신품 구매 견적 포함), 검수조서(증빙사진 포함)",기능 향상을 위한 업그레이드 비용은 집행 불가(전 패키지 공통)
표A,13,지급수수료 - 사무실임차료,7개 패키지 전체 공통,사업화를 위한 사무공간(사업장·공장·연구소 등) 임차에 따른 월 임차료 — 실질 동일,"임차공간 증빙사진, 임대차계약서, 입금확인증","① 임대인 사업자등록증 업종·업태에 '부동산업'·'임대업' 기재 시에만 집행 가능 (전 패키지 공통); ② 공유 사무공간은 '전대업' 명시 + 주소 확인 + 월 단위 계약 시에만 가능, 그 외 전대차 불가; ③ 임차보증금·관리비 집행 불가 (예비창업패키지·초기창업패키지·창업도약패키지·창업중심대학); ④ 정부·지자체 지원 공간(창업보육센터 등) 입주 시 집행 불가(창업중심대학·초격차 스타트업, 단 연도별 존폐 상이)"
표A,14,지급수수료 - 운반비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업, 창업도약패키지(보험료·보관료와 통합 규정) — 재도전성공패키지는 2024·2025년판에서 보험료·보관료와 통합 규정, 2026년판에서 조항 전체 삭제",창업아이템 운반·수출 시 발생하는 실 소요비용 — 실질 동일,"인수증, 운송확인증",창업아이템 운반·수출 시 실 소요비용에 한해 집행(공통). 창업도약패키지·재도전성공패키지(2024·2025)는 운반비·보험료·보관료를 하나의 세부항목으로 묶어 규정
표A,15,지급수수료 - 보험료,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지(수출 관련 보험료로 규정), 창업중심대학, 초격차 스타트업 — 재도전성공패키지는 2024·2025년판에서 운반비·보관료와 통합 규정, 2026년판에서 조항 삭제",창업아이템 수출 시 발생하는 보험료 등 실 소요비용 — 실질 동일,"보험증권, 보험가입서(계약서)",창업아이템 수출 시 실 소요비용에 한해 집행(공통)
표A,16,지급수수료 - 보관료,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업중심대학, 초격차 스타트업, 창업도약패키지(운반비·보험료와 통합 규정) — 재도전성공패키지는 2024·2025년판에서 운반비·보험료와 통합 규정, 2026년판에서 조항 삭제",창업아이템 운반·수출 관련 보관에 소요되는 실 소요비용 — 실질 동일,"창고 임차 계약서, 입금확인증(또는 보관물건 확인증)",창업아이템 운반·수출 시 실 소요비용에 한해 집행(공통)
표A,17,지급수수료 - 세무·회계비(기장대행 등),7개 패키지 전체 공통,"기장대행 수수료, 법인·개인사업자 결산 및 조정 수수료 관련 비용 — 실질 동일(재도전성공패키지 2026년판은 월 20만원 한도 신설, 결산·조정 수수료 문구 제외)",계약서,① 기장대행 수수료 + 결산·조정 수수료 실소요비용 집행 가능 (예비창업패키지·초기창업패키지·모두의 창업·창업도약패키지·초격차 스타트업); ② 월 20만원 이내 한도 (재도전성공패키지 2026년판); ③ 창업중심대학은 연도별로 세무회계비/세무기장료 명칭 및 편성 여부가 변동됨(공고문 확인 필요)
표A,18,지급수수료 - 회계감사비,"예비창업패키지, 초기창업패키지, 모두의 창업 프로젝트, 창업도약패키지(2025년판부터 지급수수료 세부항목으로 명문화), 창업중심대학, 초격차 스타트업 — 재도전성공패키지는 해당 조항 없음. 예비창업패키지·초기창업패키지는 ""지급수수료"" 조가 아니라 ""사업비 정산"" 장에 ""전문기관이 지정하는 회계법인을 통해 사업비 회계감사를 실시하여야 하며, 이에 대한 회계감사비를 회계법인에게 지급하여야 한다""는 문구로 규정",전문(전담)기관이 지정한 회계법인이 창업기업(또는 주관기관) 사업비를 감사·정산처리하는 비용 및 사업비 승인 과업 비용 — 실질 동일,회계감사보고서,지정 회계법인에 대한 지급에 한해 집행 가능(공통). 창업기업별 의무 계상(창업중심대학)
표A,19,지급수수료 - 법인설립비,7개 패키지 전체 공통,법인 설립 시 소요되는 잔액고 증명 수수료·법인등록면허세·법인등기수수료 등 비용 — 실질 동일,"법인등기부등본, 잔액고 증명 수수료·법인등록면허세·법인등기수수료 납부 확인서류",① 온라인법인설립시스템(www.startbiz.go.kr) 이용 설립 원칙; ② 재도전성공패키지 2026년판은 법인등록면허세 항목 제외(잔액고 증명 수수료+법인등기수수료만 인정)
표A,20,지급수수료 - 기술보호비(기술임치수수료),"모두의 창업 프로젝트, 창업도약패키지, 창업중심대학, 초격차 스타트업(세무·법률컨설팅·평가 항목 내 포함) — 예비창업패키지·초기창업패키지·재도전성공패키지는 해당 비목 없음",대·중소기업·농어업협력재단이 운영하는 기술자료 임치제도를 통해 창업기업의 기술자료를 맡기고(임치) 그 등록·갱신에 드는 수수료 — 실질 동일,"계약서, 기술임치증(또는 최신본임치증)",해당 기술자료를 특허·실용신안으로 등록한 경우 추가 지급 불가(창업도약패키지·모두의 창업). 중기부 '창업기업지원 서비스 바우처' 선정 기업은 집행 불가(창업중심대학)
표A,21,지급수수료 - 규제애로 해소 법률컨설팅비,"예비창업패키지·초기창업패키지(2024·2025년판, [붙임2] 해설표), 모두의 창업 프로젝트, 창업중심대학(2025년판 신설), 초격차 스타트업(세무·법률컨설팅·평가 항목에 포함) — 창업도약패키지·재도전성공패키지는 해당 조항 없음",창업아이템과 직접 관련 있는 규제의 법률 검토 및 개선방안 마련을 위한 법률컨설팅 비용 — 실질 동일,컨설팅 결과보고서,"컨설팅 진행 후 지급(공통). 창업중심대학은 비목 정의표에는 미반영, 집행기준 본문에만 존재(문서 내부 표기 불일치)"
표A,22,지급수수료 - 고영향 AI 인증·검증,"초격차 스타트업(10차 신설, 2026.03.06) — 다른 패키지는 해당 항목 없음","「인공지능 기본법」(정식명 ""인공지능 발전과 신뢰 기반 조성 등에 관한 기본법"", 2026.1.22. 시행)에 따른 고영향 AI 확인 제도, AI 신뢰성 인증, 기술 검증·안정성 평가 등 인증·검증 의무 비용. 동법 제2조제4호는 ""고영향 인공지능""을 ""사람의 생명, 신체의 안전 및 기본권에 중대한 영향을 미치거나 위험을 초래할 우려가 있는 인공지능시스템""으로 정의하며, 에너지 공급 / 먹는물 생산 공정 / 보건의료 제공·이용체계 / 의료기기·디지털의료기기 개발·이용 / 원자력시설 등 핵물질 안전관리 / 범죄수사(생체인식정보 분석 등) / 채용·대출심사 등 개인의 권리의무에 중대한 영향을 미치는 판단·평가 / 교통수단·교통시설·교통체계의 주요 작동·운영 / 공공서비스 자격 확인·결정 등 의사결정 / 유아·초등·중등교육에서의 학생평가 및 ""대통령령으로 정하는 그 밖의 분야""를 적용 분야로 열거하고 있음(법률 해설자료 종합, 목별 정확한 문구는 국가법령정보센터 원문 확인 권장)",(문서 내 별도 증빙서류 목록 미기재),10차 개정(2026.03.06)에서 신설된 항목으로 이전 연도 문서에는 없음
표A,23,여비,7개 패키지 전체 공통,창업기업등이 소재지를 벗어나 타 지역 또는 타 국가로 출장하는 사유로 집행하는 비용(국내·국외 여비 포함 여부는 패키지·연도별 상이) — 실질 유사,"국내여비: 실집행 영수증(대중교통 요금 등) / 국외여비: 출장계획서, 교통비 증빙서류, 출장 결과보고서","① 국외 출장은 출국일 이전 사전보고(개요·여비 산출근거 등) 의무 (전 패키지 공통); ② 대중교통은 일반석(Economy) 등급 비용에 한함 (전 패키지 다수); ③ 예비창업패키지 2023년판은 국외여비만 인정하고 국내출장비는 별도 비목(창업활동비)에서 집행. 모두의 창업 프로젝트는 국외 여비 집행이 원칙적으로 불가하며 국내 출장비만 인정(창업활동비 비목 자체가 없음); ④ 창업중심대학·초격차 스타트업: 숙박비 상한액표(공무원 여비 규정 또는 국가등급별 USD 기준) 적용, 4대보험 가입 임직원에 한해 집행"
표A,24,교육훈련비,"예비창업패키지·초기창업패키지(2024·2025년판, [붙임2] 해설표 — 2023년판에는 없음), 창업중심대학, 초격차 스타트업 — 모두의 창업 프로젝트·재도전성공패키지·창업도약패키지는 창업기업 비목으로 등장하지 않음","창업기업등 임직원이 사업화를 위해 기술 및 경영교육을 이수할 때 집행하는 비용 — 실질 동일. (참고) 예비창업패키지·초기창업패키지에는 이와 별개로 주관기관(운영기관) 전담인력 대상 교육훈련비가 존재하나, 이는 창업기업이 사용하는 비목이 아니므로 본 행과 구분됨","교육참가 신청서(사전 신청 시), 교육자료, 신용카드 영수증(입금증), 교육 이수증(참가 확인서), 4대보험가입증명원(대표자 이외 인력 집행 시)","고용노동부 등 환급 과정은 환급액 제외 금액만 집행, 본인부담금 집행 불가(창업중심대학·초격차 스타트업)"
표A,25,광고선전비,7개 패키지 전체 공통,"창업기업 제품·기업 홍보를 위한 홈페이지·홍보영상·홍보물 제작비, 포장 디자인비, 광고게재 등 마케팅 소요 비용 — 실질 동일","세금계산서(신용카드 영수증), 거래처 사업자등록증, 거래처 통장사본, 계약서(과업내용 포함), 결과보고서(결과물), 검수확인서(증빙사진 포함), 홍보제작물",① 일회성 무작위 홍보용 배포 기념품·유니폼·기프티콘 집행 불가 (전 패키지 공통); ② 충전·차감방식 전자화폐(온라인 광고 등)는 협약기간 내 실소요 비용만 집행 가능 (전 패키지 공통); ③ 외주 진행 시 외주용역비 규정 준용 (전 패키지 다수)
표A,26,창업활동비,예비창업패키지 전용 — 다른 6개 패키지는 해당 비목 없음,"창업기업의 창업(준비)활동에 필요한 문헌·사무용품·소모품 구입 등에 소요되는 비용(2023년판 정의에는 국내 출장여비 포함, 2024년판부터 여비 비목으로 이동)",개인 또는 법인사업자 통장사본,"월 50만원 한도, 법인사업자는 법인사업자 계좌로 지급 원칙"
표A,27,기타 - 비교견적서,"7개 패키지 전체 공통(개별 비목이 아닌, 전 비목에 적용되는 공통 규정)",고액 거래 시 적정 계약금액 산출을 위한 비교견적서 제출 의무 — 실질 동일,비교견적서,2천만원(부가세 포함) 초과(또는 이상) 거래 시 제출 필요 — '이상'/'초과' 표현이 문서마다 상이하므로 경계값 거래는 개별 공고문 확인 필요
표A,28,기타 - 집행방법·지급제한·환수 등 공통 유의사항,7개 패키지 공통 적용(개별 비목이 아닌 공통 규정 — 초격차 스타트업·창업중심대학 문서에 상세 규정),"협약기간 내 지출원인행위, 사업비카드 사용 원칙, 지급불가 대상(친족 등), 환수 사유 등 전 비목 공통 규정",(해당 없음 — 비목이 아님),"협약기간 이내 지출원인행위분만 집행, 사업비카드 사용 원칙(법인·개인카드 금지), 창업자의 직계존비속·형제·자매·배우자 및 재직(퇴사 후 1년 이내) 기업 임직원 지급 불가, 부정집행 시 환수"
표A,29,사업비 구성(정부지원사업비+자기부담금),"재도전성공패키지, 창업도약패키지, 초격차 스타트업 — 예비창업패키지·초기창업패키지·모두의 창업·창업중심대학 문서에는 별도 구성비 표 없음","총사업비(100%) = 정부지원사업비 + 자기부담 현금 + 자기부담 현물 — 3개 패키지 공통 구조, 비율은 패키지별로 상이","수정사업계획서(사업지원금 확정 반영, 온라인시스템 제출)","패키지별 비율; ; | 패키지 | 정부지원사업비 | 자기부담 현금 | 자기부담 현물 |; |---|---|---|---|; | 재도전성공패키지 | 75% 이하 | 5% 이상 | 20% 이하 |; | 창업도약패키지 | 70% 이하 | 10% 이상 | 20% 이하 |; | 초격차 스타트업 | 70% 미만 | 자기부담사업비(현금+현물) 합산 30% 이상, 현금·현물 비율 제한 없음 | — |"
표A,30,자기부담 현물,"재도전성공패키지, 창업도약패키지, 창업중심대학, 초기창업패키지, 초격차 스타트업 — 예비창업패키지는 창업기업 사업비가 정부지원사업비 100%로만 구성되어 구조적으로 자기부담(및 현물) 항목이 없음. 모두의 창업 프로젝트는 현물 계상 조항 없음","① 견품·시약 등 재료비, 시제품제작 관련 기자재 사용료·임차료, 창업준비공간 임차료, 본인 및 참여 기존 임직원 인건비 (재도전성공패키지·창업도약패키지 — 기자재 사용료·임차료는 취득가액 10% 이내로 한정); ② 인건비·임차료·기자재 3개 항목으로 구성, 재료비 제외 (재도전성공패키지 2026년판); ③ 재료비·기자재 사용료·임차료·창업준비공간 임대료(무상제공 시)·대표자 및 임직원 인건비 등 5개 항목 (창업중심대학); ④ 재료비·기자재 사용료·임차료(취득가액 10% 이내)·창업준비공간 임차료·인건비 5개 항목 (초기창업패키지); ⑤ 재료비·기자재 사용료·임차료·인건비·사무실 임차비 4개 항목 (초격차 스타트업)",재도전성공패키지: 단가 산출 증빙자료 또는 현물납부확인서(협약체결 전 제출) / 창업중심대학: [양식 제1호] 현물납부확인서 및 증빙자료 / 초격차 스타트업: [양식 제5호] 및 증빙자료,"창업도약패키지는 전 연도판에 현물 계상 조항이 존재함. 재도전성공패키지 2024년판에는 현물 구성 세부조항이 없었음(비율만 규정, 2025년판부터 세부항목 신설)"
표B,31,TIPS - 인건비(내부인건비),TIPS,"참여연구자가 과제 수행에 참여하는 동안 지급하는 급여(4대보험 본인부담금 포함), 4대보험 기관부담금 및 퇴직급여충당금. 신규 채용 인력은 1인당 인건비 계상률 100%까지 계상 가능","참여연구자 현황표, 급여명세서(월별), 계좌이체증명, 건강보험자격득실확인서(영리기관 신규채용자), 현금계상 인건비 관리계획 및 현황(해당시), 국가연구개발사업 현물부담확인서","현물·미지급 계상 인건비의 현금 지급 불인정, 계획서 미등록 인력 불인정, 판공비·복리후생성 경비 불인정, 이중지급 불인정, 청년의무채용 위반 시 해당인력 인건비 전액 불인정"
표B,32,TIPS - 인건비(외부인건비),TIPS,연구개발기관에 소속되지 않은 외부인력에 대한 인건비. 종합관리시스템에 등록된 당사자의 지급계좌로 입금,"근로계약서(타 대학 소속 학생연구자는 재학증명서), 급여명세서, 계좌이체증명, 건강보험자격득실확인서, 외부참여연구자 소속 기관장 확인서, 프리랜서·개인사업자는 과제참여계약서",내부인건비 불인정 기준 공통 적용
표B,33,TIPS - 인건비(연구근접지원인력 인건비),TIPS,비영리기관의 연구부서에 소속되어 해당 과제 수행을 지원하는 인력의 인건비(연구수당 계상기준 산정 시 제외),"연구근접지원인력 현황표, 급여명세서(월별), 계좌이체증명",내부인건비 불인정 기준 공통 적용
표B,34,TIPS - 학생인건비,TIPS,대학·특정연구기관·학연협동 석·박사과정 운영 정부출연연구기관의 학생연구원에게 지급하는 인건비. 연구책임자 공동관리 금지,"(통합관리기관) 학생인건비통합관리기관 증빙 / (비통합관리기관) 참여연구자현황표, 계좌이체증명, 학생연구자 연구참여확약서, 휴학생은 근로계약서","연구책임자가 회수해 공동관리한 경우 전액 불인정, 지급단가·계상률 100% 초과 집행액 불인정, 타 기관 소속 급여수령 학생연구원 지급액 불인정"
표B,35,TIPS - 연구시설·장비비,TIPS,"과제에 활용 가능한 연구시설·장비(개인용 컴퓨터 제외), 지정 보육공간 임차료, 연구시설의 설치·구입·임차 경비 및 부대경비","카드매출전표 또는 계좌이체증명, 거래명세서, 구매의뢰서, 국가연구시설장비등록증, 심의위원회 공문(1억원 이상)/평가단 심의의견서(3천만원 이상), 외자구매 시 수입신고서류, 계약서, 검수(설치)완료 확인서","부가세 포함 3천만원 이상 구입 시 구축·운영계획 및 도입계획서 제출, 1억원 이상은 연구장비도입 심의요청서 제출. 연구개발기간 종료 2개월 전까지 미구입 완료분 불인정"
표B,36,TIPS - 연구재료비(시약·재료 등 구입비),TIPS,연구재료(시약·재료 등) 구입 비용. 현금 계상 가능하나 과제 시작 전 소유분·자체재원 구입분은 현물로 산정,"카드매출전표 또는 계좌이체증명, 거래명세서, 구매의뢰서, 외자구매 시 수입신고서류, 계약서, 검수완료 확인서",연구시설·장비비와 통합 적용(상호거래 금지 등)
표B,37,TIPS - 연구재료비(시험제품·설비 등 제작비),TIPS,보유시설 부족 등으로 시험제품 등을 외주가공하는 경우의 소요비용(현금 계상). 직접 제작 시에는 재료비·인건비 등 해당 비목에 계상,"내부제작: 재료비 소요내역서 / 외부제작: 견적서 및 세금계산서, 계약서(해당시), 검수완료 확인서",연구시설·장비비와 통합 적용
표B,38,TIPS - 연구활동비(출장비),TIPS,과제 수행을 위한 국내외 출장비용(운임·일비·숙박비·식비 등). 자체 여비규정 유무에 따라 규정 또는 실비 산정,"여비기준 유무·국내외별로 상이: 출장신청서/내부결재문서, 내부여비규정, 계좌이체증명, 출장지 카드매출전표, 출장결과보고서, 출입국 확인 서류 등","공무원 여비기준 미적용 차액 불인정, 출장계획서·결과보고서 없는 국외여비 불인정, 관계기관이 숙박·식비 지급한 경우 해당액 불인정"
표B,39,TIPS - 연구활동비(외부 전문기술 활용비),TIPS,"기술도입비, 전문가 활용비(원고료·자문료 포함), 연구개발서비스 활용비 등. 소속 전문가 비용은 계상 불가. 직접비(현물 포함)의 40% 범위 내 계상","내부결재문서, 카드매출전표 또는 계좌이체증명, 기술도입계약서·기술검수조서(기술도입비), 전문가 자문확인서(전문가활용비), 연구개발서비스 결과서","직접비 40% 초과 사용액 불인정, 연구개발기관 간 상호 의뢰 활용비 불인정, 주관·위탁기관 소속직원 지급액 불인정"
